name,stock,deal,free,mrp,rate,company,batch,exp,supplier
CLOVIRAL 400 DT TABS,13,10,3,121.75,86.96,SUMAC PHARMA,SCAA30118,01-12-2020,SUMAC PHARMA PVT  LTD HYDERABAD
COBADEX-CZS TABS,60,0,0,85,60.71,GLAXOSMITHKLINE(CTC TEAM),EP150,01-07-2021,GLAXOSMITHKLINE PHARMA LIM   HYDERABADA
CODISTAR T SYRUP,120,5,1,60.5,43.21,MANKIND(DISCOVERY),A4JMR003,01-07-2020,MANKIND PHARMA (DISCOVERY)HYDERABAD
CODISTAR T SYRUP,144,5,1,108.33,77.38,MANKIND(DISCOVERY),A1JMR011,01-07-2020,MANKIND PHARMA (DISCOVERY)HYDERABAD
CODISTAR-DX SYRUP,94,5,1,53.14,37.96,MANKIND PHARMA LTD.,A0ABS019,01-11-2021,MANKIND PHARMA LTD HYDERABAD
CODISTAR-DX SYRUP,94,5,1,83.44,59.6,MANKIND PHARMA LTD.,A2ABT001,01-12-2021,MANKIND PHARMA LTD HYDERABAD
COFEX TAB,13,10,3,30,21.42,SAPCO LABORATORIES P LTD,21TCF034,01-11-2022,SAPCO LABORATORIES(P) LIMITED NELLORE
COFEX TAB,-13,10,3,30,21.42,SAPCO LABORATORIES P LTD,21TCF036,01-02-2023,SAPCO LABORATORIES(P) LIMITED NELLORE
COLDACT CAP,132,5,1,117,83.57,SUN PHARMA (STANIFE SF),ESX0188,01-11-2021,SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
COLIJOY DROPS,25,10,1,54,38.58,ASTRA-IDL LIMITED,CL9281,01-10-2021,AASTRIVAS PHARMACEUTICALS    VIJAYAWADA
COLIMEX DROPS,199,19,1,40.8,29.14,WALLACE PHARMA,CRR9006,01-11-2022,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD
COLIMEX DROPS,16,19,1,40.8,29.14,WALLACE PHARMA,CRR006A,01-01-2023,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD
COLIMEX DROPS,-15,19,1,40.8,29.14,WALLACE PHARMA,CRR007A,/  /,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD
COMBIFLAM SYRUP,360,0,0,30.55,21.82,AVENTIES(BASE),2120025,01-12-2021,SANOFI INDIA LIMITED          HYDERABAD
COMBIFLAM TABS,218,0,0,103.86,74.19,AVENTIES(BASE),9NA1036,01-11-2021,SANOFI INDIA LIMITED          HYDERABAD
COMBITHER DRY SYP,20,9,1,128,91.43,ARISTO (MAIN FORCE-2),VACD9012,01-08-2021,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
COMBITHER DRY SYP,5,9,1,128,91.43,ARISTO (MAIN FORCE-2),VACD9012,01-08-2021,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
COMBITHER DRY SYP,30,9,1,220,157.14,ARISTO (MAIN FORCE-2),VACDS9008,01-08-2021,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
COMBITHER FORTE TABS,6,5,1,145.11,103.65,ARISTO (MAIN FORCE-2),VACF9013,01-08-2021,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
COMINERVE GOLD TABS,30,0,0,199,148.79,BIOSYS HEALTH CARE,191065T,01-09-2021,S.R.R. PHARMA          HANAMKONDA
COMINERVE GOLD TABS,1,0,0,199,148.79,BIOSYS HEALTH CARE,191065T,01-09-2021,S.R.R. PHARMA          HANAMKONDA
CONTRAMAL 100MG AMP**,5,19,1,22,15.71,S.G PHARMA,UBLE8013,01-03-2021,RAMA MEDICAL DISTRIBUTORS VIJAYAWADA
CONTRAMAL 100MG AMP**,2,19,1,22.94,16.39,S.G PHARMA,UBLE9008,01-05-2022,
CONTRAMAL 100MG AMP**,250,19,1,22.94,16.39,S.G PHARMA,UBLE9014,01-08-2022,RAVINDRA PHARMACEUTICALS VIJAYAWADA
CORVADIL-A TAB,28,0,0,125.95,89.96,TORRENT (PRIMA),2173F028,01-11-2022,TORRENT PHARMACEUTICALS LTD   HYDERABAD
COSCOPIN-BR SYR,100,10,3,71.01,50.72,BIOLOGICAL E.LIMITED,D1400120,01-06-2021,"BIOLOGICAL E, LIMITED         HYDERABAD"
COSCOPIN-LINCTUS SYRUP,20,10,1,85,60.71,BIOLOGICAL E.LIMITED,DA1602219,01-05-2021,"BIOLOGICAL E, LIMITED         HYDERABAD"
COSCOPIN-PD SYR,120,10,1,57.9,41.36,BIOLOGICAL E.LIMITED,D2100620,01-06-2022,"BIOLOGICAL E, LIMITED         HYDERABAD"
COVANCE 25MG TABS,3,0,0,38,27.14,RANBAXY PHARMA,AA20730,01-01-2021,SARADA PHARMACY      MADHIRA
COVANCE 25MG TABS,15,0,0,38,27.14,RANBAXY PHARMA,AA80784,01-08-2021,SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
COVANCE 50MG TABS,15,0,0,65.5,46.79,RANBAXY PHARMA,AA81083,01-08-2021,SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
COVANCE 50MG TABS,9,0,0,65.5,46.79,RANBAXY PHARMA,AA81083,01-08-2021,SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
COVANCE-D TABS,3,0,0,119.5,85.35,RANBAXY PHARMA,AA85546,01-03-2022,SARADA PHARMACY      MADHIRA
COVANCE-D TABS,15,0,0,119.5,85.36,RANBAXY PHARMA,AB04309,01-05-2022,SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
CREMAFFIN PINK SYR(M.F),179,0,0,191.84,137.03,ABBOTT (GASTROCARE),CFB9083,01-11-2022,SRI DURGA MEDICAL AGENCIE VIJAYAWADA
CREMAFFIN PINK SYR(M.F),60,0,0,191.84,137.03,ABBOTT (GASTROCARE),CFB0003,01-12-2022,ABBOTT INDIA LIMITED HYDERABAD
CREMAFFIN PINK SYR(M.F),240,0,0,191.84,137.03,ABBOTT (GASTROCARE),CFB0013,01-01-2023,ABBOTT INDIA LIMITED HYDERABAD
CREMAFFIN PINK SYR(M.F),1,0,0,191.84,137.03,ABBOTT (GASTROCARE),CFB0027,01-04-2023,ABBOTT INDIA LIMITED HYDERABAD
CREMAFFIN PINK SYR(M.F),60,0,0,191.84,137.03,ABBOTT (GASTROCARE),CFB0038,01-05-2023,ABBOTT INDIA LIMITED HYDERABAD
CREMAFFIN PINK SYR(M.F),-60,0,0,191.84,137.03,ABBOTT (GASTROCARE),CFB038,01-05-2023,ABBOTT INDIA LIMITED HYDERABAD
CREMAFFIN PINK SYR(M.F),-1,0,0,191.84,137.03,ABBOTT (GASTROCARE),CFB0031,01-04-2023,SARADA PHARMACY      MADHIRA
CREMAFFIN PINK SYR(M.F),3,0,0,191.84,137.03,ABBOTT (GASTROCARE),CFB0041,01-05-2023,ABBOTT INDIA LIMITED HYDERABAD
CREMAFFIN PINK SYR(M.F),-3,0,0,191.84,137.03,ABBOTT (GASTROCARE),CFB0040,01-05-2023,VIJAYA DURGA AGENCIES   VIJAYAWADA
CREMAFFIN PLUS SYR,23,0,0,203.41,145.29,ABBOTT (GASTROCARE),130560D7,01-12-2022,ABBOTT INDIA LIMITED HYDERABAD
CREMAFFIN PLUS SYR,60,0,0,203.41,145.29,ABBOTT (GASTROCARE),140559D7,01-01-2023,ABBOTT INDIA LIMITED HYDERABAD
CREMAFFIN WHITE SYR(M),33,0,0,174.4,124.57,ABBOTT (GASTROCARE),060509D7,01-05-2022,
CREMALAX 10MG TAB,8,0,0,126.09,90.06,ABBOTT (GASTROCARE),ADE0191,01-12-2021,
CREMALAX 10MG TAB,19,0,0,126.09,90.06,ABBOTT (GASTROCARE),ADE0266,01-02-2022,ABBOTT INDIA LIMITED HYDERABAD
CREMALAX 10MG TAB,1,0,0,126.09,90.06,ABBOTT (GASTROCARE),ADF0278,01-04-2022,ABBOTT INDIA LIMITED   HYDERABAD
CREON 10000 CAP,9,0,0,544.24,388.74,ABBOTT (WH&GI),CNA9055,01-10-2021,ABBOTT INDIA LIMITED HYDERABAD
CREON 10000 CAP,20,0,0,544.24,388.74,ABBOTT (WH&GI),CNA0006,01-12-2021,ABBOTT INDIA LIMITED HYDERABAD
CREON 25000 CAP,2,0,0,818.79,584.85,ABBOTT (WH&GI),CNB9019,01-11-2021,ABBOTT INDIA LIMITED HYDERABAD
CRESAR 80 TAB,4,0,0,105.62,75.44,CIPLA(VITALIS 3),SA85479,30-11-2020,CIPLA LIMITED  HYDERABAD
CRESAR 80 TAB,11,0,0,110.09,78.64,CIPLA(VITALIS 3),SA93329,01-06-2021,CIPLA LIMITED  HYDERABAD
CRESAR 80 TAB,2,0,0,110.09,78.64,CIPLA(VITALIS 3),SA94104,01-09-2021,CIPLA LIMITED  HYDERABAD
CROCIN DROPS***,2,0,0,26.54,19.37,SMITHKLINE BEECHAM PHARMA,B9014,01-08-2021,HARI MARUTI AGENCIES  VIJAYAWADA
CROCIN DROPS***,27,0,0,26.54,19.37,SMITHKLINE BEECHAM PHARMA,B9018,01-09-2021,HARI MARUTI AGENCIES  VIJAYAWADA
CROCIN SYRUP**,1,0,0,34.94,25.5,SMITHKLINE BEECHAM PHARMA,B9023,01-09-2021,HARI MARUTI AGENCIES  VIJAYAWADA
CROCIN SYRUP**,36,0,0,34.94,25.5,SMITHKLINE BEECHAM PHARMA,B9026,01-10-2021,HARI MARUTI AGENCIES  VIJAYAWADA
CROMAL-FORTE EYE DRP,7,0,0,83.6,59.71,CIPLA,N90025,31-07-2022,CIPLA LIMITED  HYDERABAD
CYCLOPAM AMP,58,0,0,34.9,24.93,INDOCO,CDX1K9A4,01-10-2021,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
CYCLOPAM SYR,38,9,1,50.6,36.14,INDOCO,CEA1L9A1,01-05-2022,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
CYCLOPAM SYR,102,9,1,50.6,36.14,INDOCO,CEA1BBC2,01-07-2022,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
CYCLOPAM SYR,-2,9,1,50.6,36.14,INDOCO,CEA2BBA1,01-07-2022,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
CYCLOPAM TAB,92,9,1,46.35,33.11,INDOCO,CEB5K97,01-10-2023,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
CYCLOPAM VIAL,28,0,0,65.18,46.56,INDOCO,CDY3I9A4,01-08-2021,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
CYCLOPAM VIAL,24,0,0,22.51,16.08,INDOCO,CDY1K9A4,01-10-2021,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
CYRA  TAB**,28,0,0,21,15,GENARAL COMPANY,CA21417,01-02-2021,RAMA MEDICAL DISTRIBUTORS VIJAYAWADA
CYRA D CAPS**,33,0,0,43,30.71,GENARAL COMPANY,CD11297,01-10-2021,HARI MARUTI AGENCIES  VIJAYAWADA
CYSTONE TAB,18,0,0,125,85.93,THE HIMALAYA DRUG CO ( ZENITH),19900891,01-10-2022,HARI MARUTI AGENCIES  VIJAYAWADA
CYSTONE TAB,-1,0,0,125,85.93,THE HIMALAYA DRUG CO ( ZENITH),192000200,01-01-2023,THE HIMALAYA DRUG COMPANY     HYDERABAD
CYSTONE TAB,1,0,0,125,85.93,THE HIMALAYA DRUG CO ( ZENITH),192000403,01-06-2023,THE HIMALAYA DRUG COMPANY     HYDERABAD
CZ-3 TAB**,40,0,0,17.98,12.85,LUPIN,J901157,01-06-2022,VIJAYA DURGA AGENCIES   VIJAYAWADA
CZ-3 TAB**,1,0,0,17.98,12.85,LUPIN,J901879,01-10-2022,SARADA PHARMACY      MADHIRA
CZ-3 TAB**,-1,0,0,17.98,12.85,LUPIN,J901994,01-11-2022,PRUDHVI AGENCIES VIJAYAWADA
D3 MUST 60K TABS,36,0,0,68.83,49.16,MANKIND PHARMA LTD.,D5HPS019,01-10-2021,MANKIND PHARMA LTD HYDERABAD
D3 MUST 60K TABS,-6,0,0,68.83,49.16,MANKIND PHARMA LTD.,D5HPS020,01-11-2021,MANKIND PHARMA LTD HYDERABAD
D3 MUST FORTE DROPS,11,0,0,75,53.57,MANKIND PHARMA LTD.,B9CWS039,01-04-2021,MANKIND PHARMA LTD HYDERABAD
DAONIL TAB,328,0,0,40.31,28.79,EMCURE PHARMACEUTICALS LTD,9NA0015,01-03-2022,SANDEEP PHARMA   HYDERABAD
DAROLAC SACHET,5,0,0,119,85,ARISTO PHARMA,M1097J169,01-02-2021,ARISTO PHARMACEUTICALS PVT LTD HYDERABAD
DAROLAC Z SACHET,1,0,0,175,125,ARISTO PHARMA,M527G039,01-10-2020,
DART TABS ***,35,5,1,28.8,20.57,JUGGAT PHARMA,1911076,01-10-2022,TRINETRA PHARMA    HYDERABAD
DART TABS ***,391,5,1,28.8,20.57,JUGGAT PHARMA,1912083,01-11-2022,LAKSHMI BALAJI CORPORATION VIJAYAWADA
DEC-100MG TAB ***,7,10,2,41,30.8,COMMONWELTH PHARMA,DDM07,01-12-2021,RAVINDRA PHARMACEUTICALS VIJAYAWADA
DEC-100MG TAB ***,93,10,2,41,30.8,COMMONWELTH PHARMA,DDM07,01-12-2021,VIJAYA DURGA AGENCIES   VIJAYAWADA
DECA DURABOLIN  25MG AMP,2,0,0,218.6,156.14,ZYDUS FORTIZA,G905036,01-07-2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DECA DURABOLIN  50MG AMP,6,0,0,338.4,241.71,ZYDUS FORTIZA,G904712,01-09-2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DEFCORT 6MG TABS,4,0,0,112.75,80.54,MACLEODS(TB CARE),GDB966A,30-11-2022,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
DELCON LIQUID,9,5,1,53,37.86,VERITAZ HEALTHCARE LIMITED,DLH9K19,01-09-2021,
DELICES SYR,17,11,1,87,62.14,PHARMA PRODUCTS P LTD,NS664,01-02-2021,SRI SAI KRISHNA DISTRIBUTORS  HYDERABAD
DENTO-GEL,60,0,0,82,58.57,INDOCO (WARREN PHARMA),DCL1LA4,01-03-2022,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
DEPIN 10MG CAP,32,0,0,28.22,20.16,ZYDUS CADILA,M916481,01-04-2021,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DEPIN 5MG CAP,47,0,0,64.4,46,ZYDUS CADILA,M917706,01-04-2021,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DEPIN 5MG CAP,-17,0,0,64.4,46,ZYDUS CADILA,M918042,01-05-2021,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DEPLATT A 150 TABS,45,0,0,68.15,48.68,TORRENT PHARMA,2X84G001,01-05-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
DEPLATT A 75 TABS,50,0,0,73.55,52.54,TORRENT PHARMA,2Z29F037,01-05-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
DEPLATT CV 20 TABS,7,0,0,87.5,62.5,TORRENT PHARMA,TOR19J074,01-09-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
DEPLATT CV CAPS,37,0,0,70.9,50.64,TORRENT PHARMA,DAA026,01-12-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
DEPLATT TABS,20,0,0,84.9,60.64,TORRENT PHARMA,2Y32F035,01-10-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
DERIPHYLIN AMP,710,0,0,6.8,4.86,GERMAN REMADIES LTD,BGV1196,01-09-2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DERIPHYLIN AMP,3000,0,0,6.8,4.86,GERMAN REMADIES LTD,AIW1017,01-12-2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DERIPHYLIN R 150MG TABS,120,0,0,25.3,18.07,GERMAN REMADIES LTD,I000033,01-12-2022,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DERIPHYLIN R 300MG TABS,24,0,0,38.9,27.79,GERMAN REMADIES LTD,I904264,01-11-2022,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DERIPHYLIN SYR,11,0,0,49.4,35.29,GERMAN REMADIES LTD,BJV1087,01-08-2022,
DERMADEW ACNE SOAP,13,0,0,175,118.64,H&H PHARMA (COSMECEUTICAL),B115,01-10-2022,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW ACNE SOAP,20,0,0,175,118.64,H&H PHARMA (COSMECEUTICAL),B115,01-10-2022,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW ALOE LOTION,5,0,0,180,122.03,H&H PHARMA (COSMECEUTICAL),B084,01-11-2021,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW B BAR SOAP,1,0,0,175,118.64,H&H PHARMA (VITALITY),H007,01-01-2021,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW B BAR SOAP,20,0,0,175,118.64,H&H PHARMA (VITALITY),H007,01-01-2021,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW BABY CREAM,6,0,0,155,105.08,H&H PHARMA (HEALTHCARE),B039,01-11-2021,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW BABY CREAM,20,0,0,159,107.8,H&H PHARMA (HEALTHCARE),B043,01-01-2022,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW BABY LOTION,10,0,0,120,81.36,H&H PHARMA (WELLNESS),B081,01-01-2022,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW BABY SOAP,18,0,0,179,121.36,H&H PHARMA (WELLNESS),B128,01-10-2022,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW BACT SOAP,1,0,0,175,118.64,H&H PHARMA (HEALTHCARE),H037,01-02-2022,
DERMADEW BACT SOAP,6,0,0,175,118.64,H&H PHARMA (HEALTHCARE),B039,01-07-2022,
DERMADEW BACT SOAP,50,0,0,175,118.64,H&H PHARMA (HEALTHCARE),B045,01-10-2022,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW CALOE LOTION,3,0,0,165,111.86,H&H PHARMA (VITALITY),B111,01-12-2021,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW LITE SOAP,8,0,0,175,118.64,H&H PHARMA (COSMECEUTICAL),B050,01-10-2022,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW SOAP,-3,0,0,149,101.02,H&H PHARMA (HEALTHCARE),B211,01-11-2022,VEGAVAAN PHARMA      SECUNDERABAD
DERMADEW SOAP,3,0,0,149,101.02,H&H PHARMA (HEALTHCARE),B213,01-03-2023,VEGAVAAN PHARMA      SECUNDERABAD
DEROBIN ONT **,-2,0,0,90.75,64.82,USV PHARMA,DB0080,01-01-2022,PRUDHVI PHARMACEUTICALS VIJAYAWADA
DEROBIN ONT **,2,0,0,90.75,64.82,USV PHARMA,DB0035,01-12-2021,PRUDHVI PHARMACEUTICALS VIJAYAWADA
DETTOL SANITIZER**,12,0,0,265,219.19,RICKET & BENCKISER,3000,01-01-2021,SRI SHASTHA ENTERPRISES KHAMMAM
DETTOL SKIN CARE 3+1  OFF**,5,0,0,107,87.89,RICKET & BENCKISER,BUJU301,01-04-2022,SRI SHASTHA ENTERPRISES KHAMMAM
DETTOL SKIN CARE 3+1  OFF**,-4,0,0,93,87.89,RICKET & BENCKISER,BUJV301,01-04-2022,SRI SHASTHA ENTERPRISES KHAMMAM
DETTOL SKIN CARE 3+1  OFF**,-1,0,0,90,73.92,RICKET & BENCKISER,BUJV584,01-05-2022,SRI SHASTHA ENTERPRISES KHAMMAM
DETTOL SKIN CARE OFFER 4+1**,30,0,0,120,99.28,RICKET & BENCKISER,BUHM620,01-09-2021,
DETTOL SOAP ORIGIN 4+1 OFFER**,34,0,0,120,99.28,RICKET & BENCKISER,BSHR171,01-09-2021,
DETTOL SOAP ORIGIN 4+1 OFFER**,7,0,0,120,99.28,RICKET & BENCKISER,BUHR145,01-09-2021,
DEVIRY 10MG TAB,57,0,0,58.85,42.04,TORRENT (B- WELL),DAA90071,01-11-2022,TORRENT PHARMACEUTICALS LTD   HYDERABAD
DEWAX EAR DROPS**,2,10,2,95.99,68.57,LEGEND DRUGS & FORMS,CDX461,01-08-2021,SARADA PHARMACY      MADHIRA
DEWAX EAR DROPS**,37,10,2,95.99,68.57,LEGEND DRUGS & FORMS,CDX473,01-10-2021,TRINETRA PHARMA    HYDERABAD
DEWAX EAR DROPS**,-4,10,2,95.99,68.57,LEGEND DRUGS & FORMS,CDX448,01-05-2021,LAKSHMI BALAJI CORPORATION VIJAYAWADA
DEWAX EAR DROPS**,4,10,2,95.99,68.57,LEGEND DRUGS & FORMS,CDX467,01-09-2021,LAKSHMI BALAJI AGENCIES       HYDERABAD
DEWAX EAR DROPS**,1,10,2,105.35,75.25,LEGEND DRUGS & FORMS,CSX487,01-02-2022,VIJAYA DURGA AGENCIES   VIJAYAWADA
DEWAX EAR DROPS**,-1,10,2,95.99,68.56,LEGEND DRUGS & FORMS,CDX477,01-12-2021,TRINETRA PHARMA    HYDERABAD
DEXOLAC 1 INFANT  (JAR),88,0,0,186,143.3,NUTRICIA (DEXOLAC),2001226911,01-04-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 1 INFANT  (JAR),24,0,0,314,241.91,NUTRICIA (DEXOLAC),2002176911,01-05-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 1 INFANT  (JAR),62,0,0,186,143.3,NUTRICIA (DEXOLAC),2002066911,01-05-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 1 INFANT  (JAR),24,0,0,314,241.91,NUTRICIA (DEXOLAC),2002176911,01-05-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 1 INFANT  (JAR),-2,0,0,186,143.3,NUTRICIA (DEXOLAC),2002166911,01-05-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 1 INFANT  (REF),104,0,0,304,234.21,NUTRICIA (DEXOLAC),2002186911,01-05-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 1 INFANT  (REF),60,0,0,304,234.21,NUTRICIA (DEXOLAC),2002186911,01-05-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 1 INFANT  (REF),60,0,0,304,234.21,NUTRICIA (DEXOLAC),2003026911,01-06-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 1 INFANT  (REF),-2,0,0,304,234.21,NUTRICIA (DEXOLAC),2004146911,01-07-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 1 INFANT  (REF),2,0,0,304,234.21,NUTRICIA (DEXOLAC),2004156911,01-07-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 2 FOLLOW-UP  (REF),60,0,0,304,234.21,NUTRICIA (DEXOLAC),2002226911,01-05-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 2 FOLLOW-UP  (REF),30,0,0,304,234.21,NUTRICIA (DEXOLAC),2002236911,01-05-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 3 FOLLOW FORMULA,30,0,0,304,234.2,NUTRICIA (DEXOLAC),2002096911,01-05-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC 3 FOLLOW FORMULA,30,0,0,304,234.2,NUTRICIA (DEXOLAC),2002256911,01-05-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC HI-KAL (JAR),12,0,0,535,412.17,NUTRICIA (DEXOLAC),2001216911,01-04-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC NUSOBEE SOYA INFA(JAR),1,0,0,460,354.39,NUTRICIA (DEXOLAC),1910046911,01-01-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC NUSOBEE SOYA INFA(JAR),24,0,0,490,377.5,NUTRICIA (DEXOLAC),2001026911,01-04-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC SPECIAL CARE  (JAR),1,0,0,525,404.47,NUTRICIA (DEXOLAC),1912226911,01-03-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXOLAC SPECIAL CARE  (JAR),16,0,0,525,404.47,NUTRICIA (DEXOLAC),2001156911,01-04-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
DEXONA AMP,1740,0,0,10.21,7.29,ZYDUS GEO,CBV1675,01-05-2021,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DEXONA AMP,3000,0,0,10.21,7.29,ZYDUS GEO,CBW1030,01-06-2021,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DEXONA TAB,90,0,0,6.38,4.56,ZYDUS GEO,BEV1391,01-11-2022,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DEXONA TAB,930,0,0,6.38,4.56,ZYDUS GEO,BEW1026,01-12-2022,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DEXONA TAB,-90,0,0,6.38,4.56,ZYDUS GEO,BEW1088,01-02-2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DEXONA VIAL,138,0,0,61.26,43.74,ZYDUS GEO,CBV1656,01-04-2021,ZYDUS HEALTHCARE LIMITED      HYDERABAD
DEXORANGE CAP,41,19,1,128.7,91.93,FRANCO INDIAN  (ZINDA 2),O19361,01-11-2021,FRANCO-INDIAN PHARMACEUTICALS HYDERABAD
DEXORANGE CAP,2,19,1,128.7,91.93,FRANCO INDIAN  (ZINDA 2),O19362,01-10-2021,FRANCO-INDIAN PHARMACEUTICALS HYDERABAD
DEXORANGE SYR,215,11,1,131.96,94.26,FRANCO INDIAN,K19161,01-04-2021,FRANCO-INDIAN PHARMACEUTICALS HYDERABAD
DEXORANGE SYR,1,11,1,131.96,94.26,FRANCO INDIAN,K20002,01-06-2021,FRANCO-INDIAN PHARMACEUTICALS HYDERABAD
DEXORANGE SYR,-2,11,1,131.96,94.26,FRANCO INDIAN,K20010,01-06-2021,FRANCO-INDIAN PHARMACEUTICALS HYDERABAD
DEXORANGE SYR,1,11,1,131.96,94.26,FRANCO INDIAN,K20016,01-06-2021,FRANCO-INDIAN PHARMACEUTICALS PVT LTD
DEXORANGE SYR,5,11,1,131.96,94.26,FRANCO INDIAN,M20028,01-11-2021,FRANCO-INDIAN PHARMACEUTICALS HYDERABAD
DEXORANGE SYR,-1,11,1,131.96,94.26,FRANCO INDIAN,M20019,01-08-2021,SARADA PHARMACY      MADHIRA
DEXORANGE SYR,-5,11,1,131.96,94.26,FRANCO INDIAN,E20065,01-11-2021,FRANCO-INDIAN PHARMACEUTICALS HYDERABAD
DEXORANGE-PAED SYR,37,0,0,73.7,52.43,FRANCO INDIAN  (ZINDA 2),K19023,01-04-2021,FRANCO-INDIAN PHARMACEUTICALS HYDERABAD
DEXOREN-S EYE DROPS,37,0,0,17.38,12.41,WARREN(OPTHAL),DAG1L9A3,01-11-2020,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
DEXOREN-S EYE DROPS,-2,0,0,17.38,12.41,WARREN(OPTHAL),DAG6DBA3,01-03-2021,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
DEXOREN-S EYE DROPS,2,0,0,17.38,12.41,WARREN(OPTHAL),DAG8DBA3,01-03-2021,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
DEY`S MOM SYRUP**,40,0,0,37,26.43,GENARAL COMPANY,2880,01-12-2022,VIJAYA DURGA AGENCIES   VIJAYAWADA
DIATAAL CAP **,40,0,0,92,62.38,USV PHARMA,STL0120,01-06-2021,PRUDHVI PHARMACEUTICALS VIJAYAWADA
